Localidad,Latitud,Longitud,Tipo_place,population,osm_type,osm_id,name_normalized
11 de Septiembre,-36.0715408,-72.7811033,neighbourhood,,node,7314140902,11 de septiembre
13 de Mayo,-34.1690555,-70.6996242,neighbourhood,,node,12583369114,13 de mayo
16 de Julio,-38.4752959,-72.0080209,hamlet,32.0,node,5047142112,16 de julio
18 de Abril,-35.4704612,-71.5597487,neighbourhood,,node,12196302295,18 de abril
18 de Septiembre,-32.6627397,-70.7178462,village,578.0,node,6016667247,18 de septiembre
21 de Mayo,-38.6622072,-72.1005678,hamlet,332.0,node,5885755186,21 de mayo
22 de Mayo,-41.8624797,-73.82258,neighbourhood,,node,1689456447,22 de mayo
24 de Abril,-33.8019827,-70.6819723,village,934.0,node,1545665662,24 de abril
25 de Febrero,-34.1700956,-70.7098057,neighbourhood,,node,12583369119,25 de febrero
28 de Marzo,-33.0453653,-71.4675291,neighbourhood,,node,3256621266,28 de marzo
29 de Diciembre,-53.1405653,-70.9071002,neighbourhood,,node,7869107431,29 de diciembre
4 de Julio,-37.6662957,-72.0168323,neighbourhood,,node,6991026961,4 de julio
4 de Septiembre,-41.3067298,-72.7414441,hamlet,82.0,node,10170652345,4 de septiembre
5 de Abril,-53.1510791,-70.8935848,neighbourhood,,node,3394666647,5 de abril
5 de Octubre,-34.1529134,-70.7511817,neighbourhood,,node,12544278074,5 de octubre
6 de Mayo,-33.5769379,-70.6551563,neighbourhood,,node,8433562276,6 de mayo
8 de Julio,-30.5949132,-71.1851066,neighbourhood,,node,8057326361,8 de julio
8 Poniente,-33.8052275,-70.7522267,hamlet,12.0,node,8945513263,8 poniente
9 de agosto,-37.0764056,-73.1463328,neighbourhood,,node,11419095572,9 de agosto
9 de Julio,-38.9058287,-72.7599406,hamlet,232.0,node,6152929774,9 de julio
Abanderado Ibieta,-34.167179,-70.7226091,neighbourhood,,node,12540359904,abanderado ibieta
Abanico,-37.3695078,-71.4885961,hamlet,192.0,node,1839316132,abanico
Abránquil,-35.7470039,-71.5454104,village,1323.0,node,214195950,abranquil
Abrantes,-33.8665668,-70.8420966,hamlet,359.0,node,1788841096,abrantes
Abtao,-41.7712127,-73.4179643,hamlet,137.0,node,5900580906,abtao
Abtao Bajo,-41.7557888,-73.3968277,hamlet,107.0,node,11836372183,abtao bajo
Abuyán,-42.4824669,-73.3202005,hamlet,19.0,node,6009211225,abuyan
Acha,-18.5852688,-70.2407785,village,424.0,node,2860284031,acha
Achacagua,-19.7801042,-69.1610331,hamlet,18.0,node,2983191203,achacagua
Achacollo,-17.6939237,-69.6536828,hamlet,,node,214183973,achacollo
Achao,-42.471001,-73.488078,town,3196.0,node,214190657,achao
Acharan Arce,-39.8083575,-73.2174645,neighbourhood,,node,5652150063,acharan arce
Achauta,-19.2951528,-68.621828,hamlet,,node,7439835949,achauta
Acheuque,-42.6036114,-73.6528539,hamlet,146.0,node,1512369457,acheuque
Achuelo,-18.575873,-69.7931743,hamlet,,node,214222771,achuelo
Adela Jorquera,-39.2780965,-71.9649086,neighbourhood,,node,5771279434,adela jorquera
