Localidad,Latitud,Longitud
Aduana El Loa,-22.9105609,-68.1997157
Algarrobo,-33.369172,-71.6680533
Alhué,-34.0370862,-71.0844986
Alto del Carmen,-28.7596711,-70.4861108
Alto Hospicio,-20.2700478,-70.1009162
Ancud,-41.8682162,-73.8287225
Andacollo,-30.2322048,-71.0847556
Angol,-37.798787,-72.7086097
Antofagasta,-23.6463741,-70.3980033
Antuco,-37.3299761,-71.6791766
Arauco,-37.246248,-73.3176399
Arica,-18.4785288,-70.3211394
Bahía Mansa,-40.5843291,-73.7307971
Baquedano,-45.5711804,-72.0684863
Boyeruca,-34.6884508,-72.0502723
Bucalemu,-32.8101633,-70.6851339
Buin,-33.7319741,-70.7419619
Bulnes,-36.7422507,-72.2987216
Cabildo,-32.4265909,-71.0663299
Cabrero,-37.0358293,-72.4026797
Calama,-22.4623917,-68.9272181
Calbuco,-41.7712143,-73.1275379
Caldera,-27.0675545,-70.8222047
Calera de Tango,-33.6309419,-70.7593202
Camar,-23.4072492,-67.9611583
Camarones,-18.9633718,-69.7151907
Camiña,-19.313081,-69.4266968
Cancosa,-19.8555437,-68.6015329
Canela,-31.4643996,-71.4349157
Cañete,-37.8004074,-73.3990802
Carahue,-38.7115844,-73.1651699
Carrizal Bajo,-28.0817778,-71.1477777
Cartagena,-33.5468491,-71.6031708
Casablanca,-33.3205864,-71.4100762
Castro,-42.482375,-73.7642918
Cauquenes,-35.9671286,-72.315427
Cerro Castillo,-51.2562493,-72.3446885
Cerro Navia,-33.4252778,-70.7461548
Chaitén,-42.9165335,-72.7084192
Chanco,-35.7341836,-72.5331642
Chañaral,-26.347934,-70.6223617
Chépica,-34.7285856,-71.2738582
Chiguayante,-36.9292478,-73.0237115
Chile Chico,-46.5396625,-71.7245816
Chillán,-36.6066616,-72.1033194
Chimbarongo,-34.708953,-71.0403642
Cholchol,-38.6025592,-72.8476626
Chonchi,-42.6239756,-73.7724416
Chuquicamata,-22.3171446,-68.9303083
Cobquecura,-36.1317572,-72.7915423
Cochrane,-47.2541656,-72.5732128
Codegua,-34.0377,-70.6565422
Codpa,-18.833472,-69.7442148
Coelemu,-36.4876004,-72.7023316
Coinco,-34.2699359,-70.9515801
Colbún,-35.6960057,-71.4060907
Colina,-33.202472,-70.6749147
Collahuasi,-22.4365772,-68.9216032
Collipulli,-37.9566312,-72.4374375
Coltauco,-34.2862794,-71.0825729
Combarbalá,-31.1781518,-71.0024382
Concepción,-36.8270698,-73.0502064
Conchalí,-33.3843234,-70.6747382
Concón,-32.9220036,-71.5159565
Constitución,-35.3318306,-72.4118998
Contulmo,-38.0160243,-73.2286034
Coñaripe,-39.567853,-72.007417
Copiapó,-27.3664685,-70.3322753
Coquimbo,-30.7546652,-70.9005536
Coronel,-37.0164712,-73.1561953
Corral,-39.8877399,-73.4314543
Coyhaique,-45.5711804,-72.0684863
Curacautín,-38.4372985,-71.8883419
Curacaví,-33.4022289,-71.1293733
Curaco de Vélez,-42.4396611,-73.6028415
Curanilahue,-37.4758037,-73.3457069
Curanipe,-35.8452538,-72.636357
Curepto,-35.0937166,-72.0180794
Curicó,-34.985368,-71.2393705
Cuya,-19.1401644,-70.1592132
Dalcahue,-42.3795533,-73.6472998
Diego de Almagro,-26.3910794,-70.0459281
Domeyko,-28.9551341,-70.8933332
Doñihue,-34.226074,-70.9648916
El Bosque,-33.5561468,-70.6655679
El Carmen,-36.897855,-72.0246149
El Loa,-40.5743116,-73.1727402
El Monte,-33.6783192,-70.9782465
El Quisco,-33.400311,-71.693998
El Salvador,-26.2462114,-69.6259658
El Tabo,-33.4545847,-71.669107
Empedrado,-35.5907772,-72.2776205
Entre Lagos,-40.6835571,-72.6039988
Ercilla,-38.0609055,-72.3754686
Estación Central,-33.4536375,-70.6898654
Florida,-36.8253041,-72.6614469
Freire,-38.9514242,-72.6254333
Freirina,-28.5086484,-71.0785719
Fresia,-41.1531405,-73.4223148
Frutillar,-41.1258462,-73.0604738
Futrono,-40.131196,-72.3826602
Galvarino,-38.4111234,-72.7812506
Gorbea,-39.1032067,-72.6759888
Graneros,-34.0644743,-70.7262983
Hualaihue,-42.1948455,-72.3377589
Hualañé,-34.9774855,-71.8012086
Hualpén,-36.7927608,-73.0943414
Hualqui,-36.9759363,-72.9383874
Huara,-19.9957872,-69.7727034
Huasco,-28.4651248,-71.2207947
Illapel,-31.6326932,-71.1683039
Iloca,-34.9336612,-72.1801552
Independencia,-33.422295,-70.6554648
Inio,-43.3623877,-74.1228836
Iquique,-20.2140657,-70.1524646
Isla de Maipo,-33.7537387,-70.9039325
La Boca,-33.9242824,-71.8462686
La Calera,-32.788981,-71.203546
La Cisterna,-33.5346265,-70.6644024
La Estrella,-34.2052857,-71.6546039
La Florida,-33.5204181,-70.6006178
La Granja,-33.5431234,-70.6332426
La Higuera,-29.511595,-71.2015007
La Junta,-43.9721171,-72.4053016
La Ligua,-32.4496375,-71.2316695
La Reina,-33.442282,-70.5432729
La Serena,-29.902631,-71.2520253
La Tirana,-20.3359256,-69.6564201
La Unión,-40.2952392,-73.0820366
Lago Ranco,-40.3216708,-72.4813502
Laguna Blanca,-52.4270382,-71.4141605
Laja,-37.2795106,-72.7149212
Lampa,-33.2895953,-70.8705255
Lanco,-39.4522225,-72.7754222
Las Cabras,-34.2670234,-70.793581
Las Condes,-33.4084548,-70.5671489
Las Lozas,-25.8927223,-70.6408562
Lautaro,-38.534312,-72.4350504
Lebu,-37.6102279,-73.656055
Licantén,-34.9856892,-71.9845873
Limache,-33.0018741,-71.2657315
Linares,-35.8452905,-71.5977173
Litueche,-34.1154229,-71.7296864
Llaillay,-32.8429976,-70.9524687
Llanquihue,-41.2575704,-73.0047428
Llay Llay,-32.8429976,-70.9524687
Llico,-37.1981493,-73.5648656
Lo Barnechea,-33.2942878,-70.3904841
Lolol,-34.727836,-71.6440839
Loncoche,-39.370616,-72.6300704
Los Álamos,-37.6271305,-73.4618419
Los Andes,-32.8336867,-70.5981609
